uniprot_id;protein_class;l3;l4;l5
P21397;Enzyme;NULL;NULL;NULL
P21673;Enzyme;NULL;NULL;NULL
P21964;Enzyme;NULL;NULL;NULL
P22061;Enzyme;NULL;NULL;NULL
P22079;Enzyme;NULL;NULL;NULL
P22102;Enzyme;NULL;NULL;NULL
P22303;Enzyme;NULL;NULL;NULL
P22309;Enzyme;NULL;NULL;NULL
P22310;Enzyme;NULL;NULL;NULL
P22748;Enzyme;NULL;NULL;NULL
P22760;Other proteins;NULL;NULL;NULL
P23141;Enzyme;NULL;NULL;NULL
P23219;Enzyme;NULL;NULL;NULL
P23280;Enzyme;NULL;NULL;NULL
P23284;Enzyme;NULL;NULL;NULL
P23526;Enzyme;NULL;NULL;NULL
P23786;Enzyme;NULL;NULL;NULL
P23919;Enzyme;NULL;NULL;NULL
P23921;Enzyme;NULL;NULL;NULL
P24387;Other proteins;NULL;NULL;NULL
P24593;Other proteins;NULL;NULL;NULL
P24855;Other proteins;NULL;NULL;NULL
P24864;Other proteins;NULL;NULL;NULL
P25963;Other proteins;NULL;NULL;NULL
P26447;Other proteins;NULL;NULL;NULL
P26599;Other proteins;NULL;NULL;NULL
P27169;Enzyme;NULL;NULL;NULL
P27338;Enzyme;NULL;NULL;NULL
P27540;Other proteins;NULL;NULL;NULL
P27695;Enzyme;NULL;NULL;NULL
P27707;Enzyme;NULL;NULL;NULL
P28329;Enzyme;NULL;NULL;NULL
P28340;Enzyme;NULL;NULL;NULL
P28562;Enzyme;NULL;NULL;NULL
P28845;Enzyme;NULL;NULL;NULL
P29372;Other proteins;NULL;NULL;NULL
P29401;Enzyme;NULL;NULL;NULL
P29474;Enzyme;NULL;NULL;NULL
P29475;Enzyme;NULL;NULL;NULL
P30085;Enzyme;NULL;NULL;NULL
P30281;Other proteins;NULL;NULL;NULL
P30405;Other proteins;NULL;NULL;NULL
P30519;Enzyme;NULL;NULL;NULL
P30536;GPCR;NULL;NULL;NULL
P31213;Enzyme;NULL;NULL;NULL
P31689;Other proteins;NULL;NULL;NULL
P31939;Enzyme;NULL;NULL;NULL
P31941;Enzyme;NULL;NULL;NULL
P32249;GPCR;NULL;NULL;NULL
P32320;Enzyme;NULL;NULL;NULL
P32754;Enzyme;NULL;NULL;NULL
P34896;Enzyme;NULL;NULL;NULL
P34949;Enzyme;NULL;NULL;NULL
P35218;Enzyme;NULL;NULL;NULL
P35222;Other proteins;NULL;NULL;NULL
P35228;Enzyme;NULL;NULL;NULL
P35354;Enzyme;NULL;NULL;NULL
P35557;Enzyme;NULL;NULL;NULL
P35573;Enzyme;NULL;NULL;NULL
P35610;Enzyme;NULL;NULL;NULL
P35869;Nuclear receptor;NULL;NULL;NULL
P37059;Enzyme;NULL;NULL;NULL
P37268;Enzyme;NULL;NULL;NULL
P37840;Other proteins;NULL;NULL;NULL
P38398;Enzyme;NULL;NULL;NULL
P39748;Enzyme;NULL;NULL;NULL
P39877;Enzyme;NULL;NULL;NULL
P40225;Other proteins;NULL;NULL;NULL
P40238;GPCR;NULL;NULL;NULL
P40763;Nuclear receptor;NULL;NULL;NULL
P40818;Enzyme;NULL;NULL;NULL
P40925;Enzyme;NULL;NULL;NULL
P41212;Nuclear receptor;NULL;NULL;NULL
P41235;Other proteins;NULL;NULL;NULL
P41252;Enzyme;NULL;NULL;NULL
P42224;Nuclear receptor;NULL;NULL;NULL
P42226;Nuclear receptor;NULL;NULL;NULL
P42229;Nuclear receptor;NULL;NULL;NULL
P42330;Enzyme;NULL;NULL;NULL
P42336;Kinase;NULL;NULL;NULL
P42338;Kinase;NULL;NULL;NULL
P42345;Kinase;NULL;NULL;NULL
P42356;Enzyme;NULL;NULL;NULL
P42858;Other proteins;NULL;NULL;NULL
P43166;Enzyme;NULL;NULL;NULL
P43351;Other proteins;NULL;NULL;NULL
P43490;Enzyme;NULL;NULL;NULL
P46063;Enzyme;NULL;NULL;NULL
P46531;Other proteins;NULL;NULL;NULL
P47712;Enzyme;NULL;NULL;NULL
P47929;Other proteins;NULL;NULL;NULL
P47989;Enzyme;NULL;NULL;NULL
P48426;Enzyme;NULL;NULL;NULL
P48736;Kinase;NULL;NULL;NULL
P48775;Enzyme;NULL;NULL;NULL
P49327;Enzyme;NULL;NULL;NULL
P49407;Other proteins;NULL;NULL;NULL
P49798;Other proteins;NULL;NULL;NULL
P50135;Enzyme;NULL;NULL;NULL
P50225;Enzyme;NULL;NULL;NULL
P50416;Enzyme;NULL;NULL;NULL
P50591;Other proteins;NULL;NULL;NULL
P51151;Other proteins;NULL;NULL;NULL
P51570;Enzyme;NULL;NULL;NULL
P51589;Enzyme;NULL;NULL;NULL
P52209;Enzyme;NULL;NULL;NULL
P52732;Other proteins;NULL;NULL;NULL
P52895;Enzyme;NULL;NULL;NULL
P54132;Enzyme;NULL;NULL;NULL
P54289;Other proteins;NULL;NULL;NULL
P54577;Enzyme;NULL;NULL;NULL
P54819;Enzyme;NULL;NULL;NULL
P55157;Other proteins;NULL;NULL;NULL
P55263;Enzyme;NULL;NULL;NULL
P55789;Enzyme;NULL;NULL;NULL
P57058;Kinase;NULL;NULL;NULL
P57771;Other proteins;NULL;NULL;NULL
P60891;Enzyme;NULL;NULL;NULL
P60953;Other proteins;NULL;NULL;NULL
P61088;Enzyme;NULL;NULL;NULL
P61160;Other proteins;NULL;NULL;NULL
P61956;Other proteins;NULL;NULL;NULL
P61981;Other proteins;NULL;NULL;NULL
P62158;Other proteins;NULL;NULL;NULL
P62937;Enzyme;NULL;NULL;NULL
P62942;Other;NULL;NULL;NULL
P62993;Other proteins;NULL;NULL;NULL
P63000;Other proteins;NULL;NULL;NULL
P63092;Other proteins;NULL;NULL;NULL
P63096;Other proteins;NULL;NULL;NULL
P63165;Other proteins;NULL;NULL;NULL
P63279;Enzyme;NULL;NULL;NULL
P68106;Other;NULL;NULL;NULL
P68402;Enzyme;NULL;NULL;NULL
P68871;Other proteins;NULL;NULL;NULL
P78356;Kinase;NULL;NULL;NULL
P78417;Enzyme;NULL;NULL;NULL
P80365;Enzyme;NULL;NULL;NULL
P80370;Kinase;NULL;NULL;NULL
P80404;Enzyme;NULL;NULL;NULL
P84022;Other proteins;NULL;NULL;NULL
Q00613;Other proteins;NULL;NULL;NULL
Q00796;Enzyme;NULL;NULL;NULL
Q00987;Other proteins;NULL;NULL;NULL
Q01453;Other proteins;NULL;NULL;NULL
Q01469;Other proteins;NULL;NULL;NULL
Q01538;Other proteins;NULL;NULL;NULL
Q01970;Enzyme;NULL;NULL;NULL
Q02127;Enzyme;NULL;NULL;NULL
Q02790;Enzyme;NULL;NULL;NULL
Q02880;Enzyme;NULL;NULL;NULL
Q04206;Nuclear receptor;NULL;NULL;NULL
Q04756;Other proteins;NULL;NULL;NULL
Q04760;Enzyme;NULL;NULL;NULL
Q04828;Enzyme;NULL;NULL;NULL
Q05923;Enzyme;NULL;NULL;NULL
Q05932;Enzyme;NULL;NULL;NULL
Q06278;Enzyme;NULL;NULL;NULL
Q06609;Other proteins;NULL;NULL;NULL
Q06710;Other proteins;NULL;NULL;NULL
Q07820;Other proteins;NULL;NULL;NULL
Q07973;Enzyme;NULL;NULL;NULL
Q08752;Enzyme;NULL;NULL;NULL
Q12852;Kinase;NULL;NULL;NULL
Q12882;Enzyme;NULL;NULL;NULL
Q12931;Other proteins;NULL;NULL;NULL
Q13093;Enzyme;NULL;NULL;NULL
Q13118;Other proteins;NULL;NULL;NULL
Q13123;Other proteins;NULL;NULL;NULL
Q13148;Other proteins;NULL;NULL;NULL
Q13393;Enzyme;NULL;NULL;NULL
Q13451;Other;NULL;NULL;NULL
Q13490;Enzyme;NULL;NULL;NULL
Q13509;Other proteins;NULL;NULL;NULL
Q13523;Kinase;NULL;NULL;NULL
Q13526;Enzyme;NULL;NULL;NULL
Q13564;Other proteins;NULL;NULL;NULL
Q13822;Enzyme;NULL;NULL;NULL
Q13887;Other proteins;NULL;NULL;NULL
Q13951;Other proteins;NULL;NULL;NULL
Q14004;Kinase;NULL;NULL;NULL
Q14145;Other proteins;NULL;NULL;NULL
Q14191;Enzyme;NULL;NULL;NULL
Q14242;Other proteins;NULL;NULL;NULL
Q14330;GPCR;NULL;NULL;NULL
Q14376;Enzyme;NULL;NULL;NULL
Q14397;Other proteins;NULL;NULL;NULL
Q14534;Enzyme;NULL;NULL;NULL
Q14697;Enzyme;NULL;NULL;NULL
Q15046;Enzyme;NULL;NULL;NULL
Q15056;Other proteins;NULL;NULL;NULL
Q15084;Enzyme;NULL;NULL;NULL
Q15102;Enzyme;NULL;NULL;NULL
Q15125;Enzyme;NULL;NULL;NULL
Q15131;Enzyme;NULL;NULL;NULL
Q15149;Other proteins;NULL;NULL;NULL
Q15392;Other proteins;NULL;NULL;NULL
Q15393;Other proteins;NULL;NULL;NULL
Q15465;Other proteins;NULL;NULL;NULL
Q15796;Other proteins;NULL;NULL;NULL
Q16236;Other proteins;NULL;NULL;NULL
Q16548;Other proteins;NULL;NULL;NULL
Q16595;Other proteins;NULL;NULL;NULL
Q16665;Nuclear receptor;NULL;NULL;NULL
Q16739;Enzyme;NULL;NULL;NULL
Q16790;Enzyme;NULL;NULL;NULL
Q16853;Enzyme;NULL;NULL;NULL
Q16873;Enzyme;NULL;NULL;NULL
Q2NL67;Enzyme;NULL;NULL;NULL
Q2TB90;Enzyme;NULL;NULL;NULL
Q4J6C6;Enzyme;NULL;NULL;NULL
Q53EL6;Other proteins;NULL;NULL;NULL
Q5MY95;Enzyme;NULL;NULL;NULL
Q6P6C2;Enzyme;NULL;NULL;NULL
Q6PIU2;Enzyme;NULL;NULL;NULL
Q6XUX3;Kinase;NULL;NULL;NULL
Q86TP1;Enzyme;NULL;NULL;NULL
Q86Y07;Kinase;NULL;NULL;NULL
Q8IUX4;Enzyme;NULL;NULL;NULL
Q8N1Q1;Enzyme;NULL;NULL;NULL
Q8N2K0;Enzyme;NULL;NULL;NULL
Q8NCG7;Enzyme;NULL;NULL;NULL
Q8NEB9;Kinase;NULL;NULL;NULL
Q8NFI3;Enzyme;NULL;NULL;NULL
Q8NI60;Kinase;NULL;NULL;NULL
Q8TBX8;Kinase;NULL;NULL;NULL
Q8TCT1;Enzyme;NULL;NULL;NULL
Q8TDV0;GPCR;NULL;NULL;NULL
Q8WVY7;Enzyme;NULL;NULL;NULL
Q8WWR8;Enzyme;NULL;NULL;NULL
Q8WZA2;Other proteins;NULL;NULL;NULL
Q92499;Enzyme;NULL;NULL;NULL
Q92523;Transporter;NULL;NULL;NULL
Q92560;Enzyme;NULL;NULL;NULL
Q92698;Enzyme;NULL;NULL;NULL
Q92843;Other proteins;NULL;NULL;NULL
Q92934;Other proteins;NULL;NULL;NULL
Q93009;Enzyme;NULL;NULL;NULL
Q96LB2;Other proteins;NULL;NULL;NULL
Q96LD8;Enzyme;NULL;NULL;NULL
Q96P20;Other proteins;NULL;NULL;NULL
Q96QA9;Other proteins;NULL;NULL;NULL
Q96QE3;Other proteins;NULL;NULL;NULL
Q99489;Enzyme;NULL;NULL;NULL
Q99519;Enzyme;NULL;NULL;NULL
Q99523;GPCR;NULL;NULL;NULL
Q99685;Enzyme;NULL;NULL;NULL
Q99700;Other proteins;NULL;NULL;NULL
Q99714;Enzyme;NULL;NULL;NULL
Q99720;GPCR;NULL;NULL;NULL
Q99755;Kinase;NULL;NULL;NULL
Q99814;Other proteins;NULL;NULL;NULL
Q99816;Other proteins;NULL;NULL;NULL
Q9BPW9;Enzyme;NULL;NULL;NULL
Q9BQF6;Enzyme;NULL;NULL;NULL
Q9BTU6;Enzyme;NULL;NULL;NULL
Q9BV23;Enzyme;NULL;NULL;NULL
Q9BY08;Other proteins;NULL;NULL;NULL
Q9BZM2;Enzyme;NULL;NULL;NULL
Q9BZP6;Enzyme;NULL;NULL;NULL
Q9C000;Other proteins;NULL;NULL;NULL
Q9C0B1;Other proteins;NULL;NULL;NULL
Q9GZR1;Enzyme;NULL;NULL;NULL
Q9GZT4;Enzyme;NULL;NULL;NULL
Q9GZT9;Enzyme;NULL;NULL;NULL
Q9GZU7;Enzyme;NULL;NULL;NULL
Q9H0H5;Other proteins;NULL;NULL;NULL
Q9H227;Enzyme;NULL;NULL;NULL
Q9H2K2;Kinase;NULL;NULL;NULL
Q9H665;Other proteins;NULL;NULL;NULL
Q9HAW7;Enzyme;NULL;NULL;NULL
Q9HAW8;Enzyme;NULL;NULL;NULL
Q9HC16;Enzyme;NULL;NULL;NULL
Q9HC29;Other proteins;NULL;NULL;NULL
Q9HCG7;Enzyme;NULL;NULL;NULL
Q9HCT0;Other proteins;NULL;NULL;NULL
Q9HD36;Other proteins;NULL;NULL;NULL
Q9NPA2;Enzyme;NULL;NULL;NULL
Q9NR20;Enzyme;NULL;NULL;NULL
Q9NR56;Other proteins;NULL;NULL;NULL
Q9NR96;GPCR;NULL;NULL;NULL
Q9NR97;GPCR;NULL;NULL;NULL
Q9NRH2;Kinase;NULL;NULL;NULL
Q9NUW8;Enzyme;NULL;NULL;NULL
Q9NWT8;Other proteins;NULL;NULL;NULL
Q9NYA1;Enzyme;NULL;NULL;NULL
Q9NYK1;GPCR;NULL;NULL;NULL
Q9NZ20;Enzyme;NULL;NULL;NULL
Q9NZK7;Enzyme;NULL;NULL;NULL
Q9P0U3;Enzyme;NULL;NULL;NULL
Q9UBE0;Other proteins;NULL;NULL;NULL
Q9UBF8;Kinase;NULL;NULL;NULL
Q9UBT6;Enzyme;NULL;NULL;NULL
Q9UBU3;Other proteins;NULL;NULL;NULL
Q9UDY8;Enzyme;NULL;NULL;NULL
Q9UGN5;Enzyme;NULL;NULL;NULL
Q9UGP5;Enzyme;NULL;NULL;NULL
Q9UHC9;Other proteins;NULL;NULL;NULL
Q9UKK3;Enzyme;NULL;NULL;NULL
Q9ULH1;Other proteins;NULL;NULL;NULL
Q9ULX7;Enzyme;NULL;NULL;NULL
Q9UM07;Enzyme;NULL;NULL;NULL
Q9UNA4;Enzyme;NULL;NULL;NULL
Q9UNK4;Enzyme;NULL;NULL;NULL
Q9UP65;Enzyme;NULL;NULL;NULL
Q9UQ49;Enzyme;NULL;NULL;NULL
Q9Y239;Other proteins;NULL;NULL;NULL
Q9Y251;Enzyme;NULL;NULL;NULL
Q9Y253;Enzyme;NULL;NULL;NULL
Q9Y263;Other proteins;NULL;NULL;NULL
Q9Y2D0;Enzyme;NULL;NULL;NULL
Q9Y2I1;Other proteins;NULL;NULL;NULL
Q9Y2Q3;Enzyme;NULL;NULL;NULL
Q9Y2T3;Enzyme;NULL;NULL;NULL
Q9Y3R4;Enzyme;NULL;NULL;NULL
Q9Y4D2;Enzyme;NULL;NULL;NULL
Q9Y4P1;Enzyme;NULL;NULL;NULL
Q9Y570;Enzyme;NULL;NULL;NULL
Q9Y5S8;Transporter;NULL;NULL;NULL
Q9Y6F1;Enzyme;NULL;NULL;NULL
P00403;Transporter;Oxidoreduction-driven transporters;NULL;NULL
P51575;Ion channel;P2X receptor;NULL;NULL
P56373;Ion channel;P2X receptor;NULL;NULL
Q99571;Ion channel;P2X receptor;NULL;NULL
Q99572;Ion channel;P2X receptor;NULL;NULL
Q9UBL9;Ion channel;P2X receptor;NULL;NULL
O00574;GPCR;Peptide receptor (family A GPCR);Chemokine receptor;CXC chemokine receptor
O43193;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Motilin receptor
O43603;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Galanin receptor
O43613;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Orexin receptor
O43614;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Orexin receptor
O60755;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Galanin receptor
O95665;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Neurotensin receptor
P13500;GPCR;Peptide receptor (family A GPCR);Chemokine receptor;CC chemokine receptor
P16473;GPCR;Peptide receptor (family A GPCR);Glycohormone receptor;Glycohormone receptor
P21452;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Neurokinin receptor
P21462;GPCR;Peptide receptor (family A GPCR);N-formyl methionyl peptide receptor;N-formyl methionyl peptide receptor
P22888;GPCR;Peptide receptor (family A GPCR);Glycohormone receptor;Glycohormone receptor
P24530;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Endothelin receptor
P25024;GPCR;Peptide receptor (family A GPCR);Chemokine receptor;CXC chemokine receptor
P25025;GPCR;Peptide receptor (family A GPCR);Chemokine receptor;CXC chemokine receptor
P25090;GPCR;Peptide receptor (family A GPCR);N-formyl methionyl peptide receptor;NULL
P25101;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Endothelin receptor
P25103;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Neurokinin receptor
P25116;GPCR;Peptide receptor (family A GPCR);Protease-activated receptor;Protease-activated receptor
P25929;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Neuropeptide Y receptor
P29371;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Neurokinin receptor
P30411;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Bradykinin receptor
P30518;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Vasopressin and oxytocin receptor
P30556;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Angiotensin receptor
P30559;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Vasopressin and oxytocin receptor
P30872;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Somatostatin receptor
P30874;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Somatostatin receptor
P30968;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);GnRH receptor
P30989;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Neurotensin receptor
P31391;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Somatostatin receptor
P32238;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Cholecystokinin receptor
P32239;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Cholecystokinin receptor
P32245;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Melanocortin receptor
P32246;GPCR;Peptide receptor (family A GPCR);Chemokine receptor;CC chemokine receptor
P32247;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);GRP-related receptor
P32248;GPCR;Peptide receptor (family A GPCR);Chemokine receptor;CC chemokine receptor
P32745;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Somatostatin receptor
P33032;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Melanocortin receptor
P34981;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Neuropeptide receptor
P35346;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Somatostatin receptor
P35372;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Opioid receptor
P35414;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Neuropeptide receptor
P37288;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Vasopressin and oxytocin receptor
P41143;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Opioid receptor
P41145;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Opioid receptor
P41146;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Opioid receptor
P41597;GPCR;Peptide receptor (family A GPCR);Chemokine receptor;CC chemokine receptor
P41968;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Melanocortin receptor
P46663;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Bradykinin receptor
P47901;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Vasopressin and oxytocin receptor
P48145;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Neuropeptide receptor
P49146;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Neuropeptide Y receptor
P50052;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Angiotensin receptor
P51677;GPCR;Peptide receptor (family A GPCR);Chemokine receptor;CC chemokine receptor
P51679;GPCR;Peptide receptor (family A GPCR);Chemokine receptor;CC chemokine receptor
P51681;GPCR;Peptide receptor (family A GPCR);Chemokine receptor;CC chemokine receptor
P51684;GPCR;Peptide receptor (family A GPCR);Chemokine receptor;CC chemokine receptor
P51685;GPCR;Peptide receptor (family A GPCR);Chemokine receptor;CC chemokine receptor
P51686;GPCR;Peptide receptor (family A GPCR);Chemokine receptor;CC chemokine receptor
P55085;GPCR;Peptide receptor (family A GPCR);Protease-activated receptor;Protease-activated receptor
P61073;GPCR;Peptide receptor (family A GPCR);Chemokine receptor;CXC chemokine receptor
Q01726;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Melanocortin receptor
Q15761;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Neuropeptide Y receptor
Q6W5P4;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Neuropeptide receptor
Q92847;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);GRP-related receptor
Q9GZQ4;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Neuromedin U receptor
Q9HBX9;GPCR;Peptide receptor (family A GPCR);Relaxin-like peptide receptor (family A GPCR);Relaxin receptor
Q9UKP6;GPCR;Peptide receptor (family A GPCR);Short peptide receptor (family A GPCR);Neuropeptide receptor
O95838;GPCR;Peptide receptor (family B GPCR);Glucagon-like receptor;Glucagon-like peptide receptor
P32241;GPCR;Peptide receptor (family B GPCR);Vasoactive intestinal peptide receptor;Vasoactive intestinal peptide receptor
P34998;GPCR;Peptide receptor (family B GPCR);Corticotropin releasing factor receptor;Corticotropin releasing factor receptor
P41587;GPCR;Peptide receptor (family B GPCR);Vasoactive intestinal peptide receptor;Vasoactive intestinal peptide receptor
P43220;GPCR;Peptide receptor (family B GPCR);Glucagon-like receptor;Glucagon-like peptide receptor
P47871;GPCR;Peptide receptor (family B GPCR);Glucagon-like receptor;Glucagon receptor
P47872;GPCR;Peptide receptor (family B GPCR);Glucagon-like receptor;Secretin receptor receptor
P48546;GPCR;Peptide receptor (family B GPCR);Glucagon-like receptor;Gastric inhibitory polypeptide receptor
Q02643;GPCR;Peptide receptor (family B GPCR);Glucagon-like receptor;Growth hormone-releasing hormone receptor
Q03431;GPCR;Peptide receptor (family B GPCR);Parathyroid hormone receptor;Parathyroid hormone receptor
Q13324;GPCR;Peptide receptor (family B GPCR);Corticotropin releasing factor receptor;Corticotropin releasing factor receptor
Q16602;GPCR;Peptide receptor (family B GPCR);Calcitonin-like receptor;Calcitonin gene-related peptide receptor
P54750;Enzyme;Phosphodiesterase 1;Phosphodiesterase 1A;NULL
Q14123;Enzyme;Phosphodiesterase 1;Phosphodiesterase 1C;NULL
Q9Y233;Enzyme;Phosphodiesterase 10;Phosphodiesterase 10A;NULL
Q9HCR9;Enzyme;Phosphodiesterase 11;Phosphodiesterase 11A;NULL
O00408;Enzyme;Phosphodiesterase 2;Phosphodiesterase 2A;NULL
Q13370;Enzyme;Phosphodiesterase 3;Phosphodiesterase 3B;NULL
Q14432;Enzyme;Phosphodiesterase 3;Phosphodiesterase 3A;NULL
P27815;Enzyme;Phosphodiesterase 4;Phosphodiesterase 4A;NULL
Q07343;Enzyme;Phosphodiesterase 4;Phosphodiesterase 4B;NULL
Q08493;Enzyme;Phosphodiesterase 4;Phosphodiesterase 4C;NULL
Q08499;Enzyme;Phosphodiesterase 4;Phosphodiesterase 4D;NULL
O76074;Enzyme;Phosphodiesterase 5;Phosphodiesterase 5A;NULL
O43924;Enzyme;Phosphodiesterase 6;Phosphodiesterase 6D;NULL
P51160;Enzyme;Phosphodiesterase 6;Phosphodiesterase 6C;NULL
Q13946;Enzyme;Phosphodiesterase 7;Phosphodiesterase 7A;NULL
O60658;Enzyme;Phosphodiesterase 8;Phosphodiesterase 8A;NULL
O95263;Enzyme;Phosphodiesterase 8;Phosphodiesterase 8B;NULL
O76083;Enzyme;Phosphodiesterase 9;Phosphodiesterase 9A;NULL
O75164;Epigenetic regulator;Plant homeodomain;NULL;NULL
Q03164;Epigenetic regulator;Plant homeodomain;NULL;NULL
Q96T88;Epigenetic regulator;Plant homeodomain;NULL;NULL
Q9H3R0;Epigenetic regulator;Plant homeodomain;NULL;NULL
Q9UIF8;Epigenetic regulator;Plant homeodomain;NULL;NULL
P11597;Ion channel;Pore-forming toxins (proteins and peptides);NULL;NULL
O14649;Ion channel;Potassium channels;Two-pore domain potassium channel;NULL
O15554;Ion channel;Potassium channels;Calcium-activated potassium channel;NULL
O43525;Ion channel;Potassium channels;Voltage-gated potassium channel;NULL
O43526;Ion channel;Potassium channels;Voltage-gated potassium channel;NULL
O95069;Ion channel;Potassium channels;Two-pore domain potassium channel;NULL
P16389;Ion channel;Potassium channels;Voltage-gated potassium channel;NULL
P17658;Ion channel;Potassium channels;Voltage-gated potassium channel;NULL
P22001;Ion channel;Potassium channels;Voltage-gated potassium channel;NULL
P22460;Ion channel;Potassium channels;Voltage-gated potassium channel;NULL
P48048;Ion channel;Potassium channels;Inwardly rectifying potassium channel;NULL
P48051;Ion channel;Potassium channels;Inwardly rectifying potassium channel;NULL
P48547;Ion channel;Potassium channels;Voltage-gated potassium channel;NULL
P51787;Ion channel;Potassium channels;Voltage-gated potassium channel;NULL
P56696;Ion channel;Potassium channels;Voltage-gated potassium channel;NULL
P57789;Ion channel;Potassium channels;Two-pore domain potassium channel;NULL
Q09470;Ion channel;Potassium channels;Voltage-gated potassium channel;NULL
Q12791;Ion channel;Potassium channels;Calcium-activated potassium channel;NULL
Q12809;Ion channel;Potassium channels;Voltage-gated potassium channel;NULL
Q9NR82;Ion channel;Potassium channels;Voltage-gated potassium channel;NULL
Q9UGI6;Ion channel;Potassium channels;Calcium-activated potassium channel;NULL
Q9UK17;Ion channel;Potassium channels;Voltage-gated potassium channel;NULL
Q9Y256;Enzyme;Protease unclassified;Protease unclassified U family;Protease unclassified U48 family
O00141;Kinase;Protein Kinase;AGC protein kinase group;AGC protein kinase SGK family
O00238;Kinase;Protein Kinase;TKL protein kinase group;TKL protein kinase STKR family
O00311;Kinase;Protein Kinase;Other protein kinase group;Other protein kinase CDC7 family
O00418;Kinase;Protein Kinase;Atypical protein kinase group;Atypical protein kinase alpha family
O00444;Kinase;Protein Kinase;Other protein kinase group;Other protein kinase PLK family
O00506;Kinase;Protein Kinase;STE protein kinase group;STE protein kinase STE20 family
O14578;Kinase;Protein Kinase;AGC protein kinase group;AGC protein kinase DMPK family
O14730;Kinase;Protein Kinase;Atypical protein kinase group;Atypical protein kinase RIO family
O14733;Kinase;Protein Kinase;STE protein kinase group;STE protein kinase STE7 family
O14757;Kinase;Protein Kinase;CAMK protein kinase group;CAMK protein kinase CAMK1 family
O14920;Kinase;Protein Kinase;Other protein kinase group;NULL
O14965;Kinase;Protein Kinase;Other protein kinase group;Other protein kinase AUR family
O14976;Kinase;Protein Kinase;Other protein kinase group;Other protein kinase NAK family
O15075;Kinase;Protein Kinase;CAMK protein kinase group;CAMK protein kinase DCAMK1 family
O15111;Kinase;Protein Kinase;Other protein kinase group;NULL
O15146;Kinase;Protein Kinase;TK protein kinase group;Tyrosine protein kinase Musk family
O15264;Kinase;Protein Kinase;CMGC protein kinase group;CMGC protein kinase MAPK family
